,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
57918,Vacant/Abandoned Building,17-01344918,2017-03-11,Front,,Open,,Vacant,False,True,4507.0,W,MAYPOLE,AVE,60624.0,1146269.73047249,1901075.80837764,28.0,11.0,26.0,41.884533993201984,-87.73833781652817,"(41.884533993201984, -87.73833781652817)"
57919,Vacant/Abandoned Building,17-01348409,2017-03-11,Front,,Open,,Vacant,False,False,1236.0,W,96TH,ST,60643.0,1169772.8939976,1840998.00387667,21.0,22.0,73.0,41.7191943183815,-87.6537753077587,"(41.7191943183815, -87.65377530775872)"
57920,Vacant/Abandoned Building,17-01348410,2017-03-11,Front,,Boarded,,Vacant,False,False,1232.0,W,96TH,ST,60643.0,1169799.7939976002,1840998.70387667,21.0,22.0,73.0,41.71919565657779,-87.65367676128433,"(41.71919565657779, -87.65367676128433)"
57921,Vacant/Abandoned Building,17-01379006,2017-03-13,,,,,,,,9622.0,S,PERRY,AVE,60628.0,1177303.41251076,1841158.81957896,21.0,5.0,49.0,41.719469193907905,-87.62618866536947,"(41.71946919390791, -87.62618866536947)"
57922,Vacant/Abandoned Building,17-01385947,2017-03-13,Front,,Open,FRONT DOOR AND SIDE WINDOWS,Vacant,False,True,7435.0,S,KENWOOD,AVE,,1186497.38227614,1855967.16201653,8.0,3.0,43.0,41.75989264958036,-87.5920470860274,"(41.75989264958036, -87.59204708602742)"
57923,Vacant/Abandoned Building,17-01052214,2017-02-24,Rear,,Open,REAR,Vacant,False,False,9345.0,S,UNIVERSITY,AVE,60619.0,1185509.80309634,1843249.24137161,8.0,4.0,47.0,41.72501664819551,-87.59606585739552,"(41.72501664819551, -87.59606585739552)"
57924,Vacant/Abandoned Building,17-01052256,2017-02-24,Rear,,Open,REAR,Vacant,False,False,9347.0,S,UNIVERSITY,AVE,60619.0,1185510.20309634,1843236.04137161,8.0,4.0,47.0,41.7249804165093,-87.59606480632068,"(41.7249804165093, -87.59606480632068)"
57925,Vacant/Abandoned Building,17-01074937,2017-02-25,Front,,Open,ALL OVER,Vacant,False,False,4454.0,W,WEST END,AVE,60624.0,1146582.08019892,1900601.1649222,28.0,11.0,26.0,41.88322556841721,-87.73720292188257,"(41.88322556841721, -87.73720292188258)"
57926,Vacant/Abandoned Building,17-01114935,2017-02-27,Front,,Open,FRONT DOOR,Vacant,False,False,8000.0,S,INGLESIDE,AVE,60619.0,1183951.24177443,1852156.99416577,8.0,6.0,44.0,41.7494969904873,-87.6014973627463,"(41.749496990487295, -87.60149736274629)"
57927,Vacant/Abandoned Building,17-01189854,2017-03-03,Garage,,Open,GARAGE,Vacant,False,False,9155.0,S,GREEN,ST,60620.0,1172255.11348204,1844105.42299633,21.0,22.0,73.0,41.7276673930026,-87.64459267216009,"(41.7276673930026, -87.64459267216009)"
57928,Vacant/Abandoned Building,17-00800399,2017-02-13,Front,,Open,FRONT AND REAR,Vacant,False,True,9142.0,S,AVALON,AVE,60619.0,1186131.81517573,1844610.1793900002,8.0,4.0,47.0,41.72873657069369,-87.59374461493056,"(41.72873657069369, -87.59374461493057)"
57929,Vacant/Abandoned Building,17-00821986,2017-02-14,Front,,Open,ALL WINDOWS -DOORS ARE OPEN -,Vacant,False,False,9008.0,S,WOODLAWN,AVE,60619.0,1185784.0000108,1845495.44000935,8.0,4.0,47.0,41.731174016530964,-87.59499090727994,"(41.731174016530964, -87.59499090727992)"
57930,Vacant/Abandoned Building,17-00863893,2017-02-16,Rear,,Open,REAR DOORWAY,Vacant,False,False,29.0,N,LOTUS,AVE,60644.0,1139954.61997664,1899694.18942211,29.0,15.0,25.0,41.88086046409191,-87.7615618698195,"(41.88086046409191, -87.76156186981952)"
57931,Vacant/Abandoned Building,17-00936021,2017-02-19,Rear,,Open,,Vacant,False,True,704.0,E,91ST,PL,60619.0,1182528.56601992,1844458.76508173,8.0,6.0,44.0,41.72840527198945,-87.6069486727874,"(41.72840527198945, -87.60694867278741)"
57932,Vacant/Abandoned Building,17-01012529,2017-02-22,Front,,Open,FRONT AND REAR,Vacant,False,True,7917.0,S,MARYLAND,AVE,60619.0,1183275.01357401,1852694.39597898,8.0,6.0,44.0,41.75098743435365,-87.60395861779669,"(41.75098743435365, -87.60395861779668)"
57933,Vacant/Abandoned Building,17-01052210,2017-02-24,Rear,,Open,REAR,Vacant,False,False,9343.0,S,UNIVERSITY,AVE,60619.0,1185509.40309634,1843262.44137161,8.0,4.0,47.0,41.72505287988149,-87.59606690847124,"(41.72505287988149, -87.59606690847124)"
57934,Vacant/Abandoned Building,17-00625758,2017-02-03,Rear,,Open,REAR AND GARAGE,Vacant,False,True,7947.0,S,MARYLAND,AVE,60619.0,1183280.61357401,1852492.49597898,8.0,6.0,44.0,41.75043326927498,-87.60394436889946,"(41.75043326927498, -87.60394436889945)"
57935,Vacant/Abandoned Building,17-00645480,2017-02-04,Rear,,Open,,Vacant,False,False,207.0,N,PARKSIDE,AVE,60644.0,1138559.59769365,1900943.38941502,29.0,15.0,25.0,41.88431382106909,-87.76665407586069,"(41.88431382106909, -87.76665407586069)"
57937,Vacant/Abandoned Building,17-00195370,2017-01-11,Rear,,Open,REAR,Vacant,False,True,4529.0,W,WEST END,AVE,60624.0,1146042.46692043,1900588.6525296,28.0,11.0,26.0,41.8832015018312,-87.73918475321466,"(41.8832015018312, -87.73918475321467)"
57938,Vacant/Abandoned Building,17-00296115,2017-01-17,,,,,,,,3001.0,W,FULTON,BLVD,60612.0,1156323.30570243,1901856.92549088,27.0,12.0,27.0,41.886480241253636,-87.70139840455714,"(41.886480241253636, -87.70139840455714)"
57940,Vacant/Abandoned Building,17-01759308,2017-03-29,Front,,Open,,Vacant,False,False,1738.0,N,LAWNDALE,AVE,60647.0,1151443.03966907,1911304.85571179,26.0,25.0,23.0,41.91250351420616,-87.71907163393402,"(41.91250351420616, -87.71907163393402)"
57941,Vacant/Abandoned Building,17-01821046,2017-03-31,,,,,,,,7212.0,S,UNIVERSITY,AVE,60619.0,1185129.28006788,1857425.29076577,5.0,3.0,69.0,41.76392613549679,-87.5970153721672,"(41.76392613549679, -87.5970153721672)"
57942,Vacant/Abandoned Building,17-01821428,2017-03-31,Front,,Open,,Vacant,False,False,151.0,E,120TH,ST,60628.0,1179377.15511978,1825427.31858177,9.0,5.0,53.0,41.6762527697831,-87.61907105639527,"(41.6762527697831, -87.61907105639527)"
57943,Vacant/Abandoned Building,17-01686608,2017-03-26,Front,,Open,REAR DOOR IS OPEN,Vacant,False,True,1644.0,E,84TH,ST,60617.0,1188684.71603294,1849611.23087256,8.0,4.0,45.0,41.742399383644944,-87.58423344113699,"(41.742399383644944, -87.58423344113699)"
57944,Vacant/Abandoned Building,17-01413087,2017-03-15,Front,,Open,FIRST FLOOR WINDOWS AND DOORS,Vacant,False,False,3323.0,W,GRAND,AVE,60651.0,1153980.80991731,1906618.49298786,27.0,11.0,23.0,41.89959345827656,-87.70987361086317,"(41.899593458276556, -87.70987361086317)"
57945,Vacant/Abandoned Building,17-01116278,2017-02-27,Front,,Open,FRONT AND BACK,Vacant,False,False,1513.0,E,93RD,ST,60619.0,1187773.84098517,1843617.03928697,8.0,4.0,48.0,41.7259724154044,-87.58776109645252,"(41.7259724154044, -87.58776109645252)"
57946,Vacant/Abandoned Building,17-01116705,2017-02-27,Front,,Open,FRONT AND BACK AND WINDOWS,Vacant,False,False,1557.0,E,93RD,ST,60619.0,1188201.9418948,1843622.75103113,8.0,4.0,48.0,41.72597790339664,-87.58619277406684,"(41.72597790339664, -87.58619277406684)"
57947,Vacant/Abandoned Building,17-01135928,2017-02-28,Front,,Boarded,,Vacant,False,False,9325.0,S,HARPER,AVE,60619.0,1188076.3418948,1843452.15103113,8.0,4.0,48.0,41.72551274943178,-87.58665826953741,"(41.725512749431786, -87.58665826953741)"
57948,Vacant/Abandoned Building,17-01286880,2017-03-08,Rear,,Open,,Vacant,False,False,7955.0,S,LAFLIN,ST,60620.0,1167718.88812361,1851941.72321286,21.0,6.0,71.0,41.74926973194524,-87.66098536651954,"(41.74926973194524, -87.66098536651955)"
57949,Vacant/Abandoned Building,17-00691272,2017-02-07,Front,,Open,FRONT AND BACK,Vacant,,,7435.0,S,KENWOOD,AVE,,1186497.38227614,1855967.16201653,8.0,3.0,43.0,41.75989264958036,-87.5920470860274,"(41.75989264958036, -87.59204708602742)"
57950,Vacant/Abandoned Building,17-00737072,2017-02-10,Front,,Open,FRONT AND REAR DOORS WITH BROKEN WINDOWS,Vacant,False,False,1646.0,E,85TH,ST,60617.0,1188713.26121851,1848947.51793402,8.0,4.0,45.0,41.74057740890928,-87.58415002422188,"(41.74057740890928, -87.58415002422188)"
57952,Vacant/Abandoned Building,17-00475653,2017-01-26,,,,,,,,3343.0,W,GRAND,AVE,60651.0,1153853.41997284,1906685.26752108,27.0,11.0,23.0,41.8997792333067,-87.7103397352264,"(41.8997792333067, -87.71033973522641)"
57953,Vacant/Abandoned Building,17-00475654,2017-01-26,,,,,,,,3333.0,W,GRAND,AVE,60651.0,1153917.11997284,1906651.86752108,27.0,11.0,23.0,41.89968631098478,-87.71010665457761,"(41.89968631098477, -87.71010665457763)"
57973,Vacant/Abandoned Building,17-01561514,2017-03-21,Front,,Open,BACK GATE,Vacant,False,True,4559.0,S,MICHIGAN,AVE,60653.0,1177921.34778833,1874851.47249747,3.0,2.0,38.0,41.811911575720075,-87.62290611131313,"(41.811911575720075, -87.62290611131313)"
57974,Vacant/Abandoned Building,17-01575416,2017-03-22,Garage,,Open,,Vacant,False,False,4400.0,S,NORMAL,AVE,60609.0,1173698.259868,1875753.10177842,11.0,9.0,61.0,41.8144804893094,-87.63836942932697,"(41.81448048930941, -87.63836942932697)"
57975,Vacant/Abandoned Building,17-01605115,2017-03-23,Front,,Open,BACK DOOR AND WINDOWS,Vacant,True,True,8239.0,S,MARSHFIELD,AVE,60620.0,1166775.8032002,1850072.30767474,21.0,6.0,71.0,41.74415996026186,-87.66449445573437,"(41.74415996026186, -87.66449445573438)"
57976,Vacant/Abandoned Building,17-01611684,2017-03-23,Front,,Open,SIDE AND REAR,Vacant,False,True,3843.0,S,HONORE,ST,60609.0,1164661.29350686,1879022.96896675,12.0,9.0,59.0,41.8236491392684,-87.67142566850286,"(41.8236491392684, -87.67142566850286)"
57977,Vacant/Abandoned Building,17-01690338,2017-03-26,Front,,Open,BACK DOOR,Vacant,False,False,7834.0,S,AVALON,AVE,60619.0,1185905.74491897,1853303.20052661,8.0,4.0,45.0,41.75259645210541,-87.5942992789858,"(41.75259645210541, -87.59429927898582)"
57978,Vacant/Abandoned Building,17-01427949,2017-03-16,Front,,Open,REAR AND FRONT DOOR,Vacant,False,True,2828.0,S,PULASKI,RD,60623.0,1150170.37038955,1884890.50527972,22.0,10.0,30.0,41.84004448890378,-87.72443554794478,"(41.84004448890378, -87.72443554794476)"
57979,Vacant/Abandoned Building,17-01435823,2017-03-16,Rear,,Open,,Vacant,False,True,3554.0,S,PRAIRIE,AVE,60653.0,1178515.10081318,1881458.1122086998,3.0,2.0,35.0,41.83002724318704,-87.62052722715299,"(41.83002724318704, -87.620527227153)"
57980,Vacant/Abandoned Building,17-01452115,2017-03-17,Front,,Open,,Vacant,False,True,2169.0,W,PERSHING,RD,60609.0,1162491.90886576,1878790.20778594,12.0,9.0,61.0,41.8230560024819,-87.67939088010094,"(41.8230560024819, -87.67939088010093)"
57981,Vacant/Abandoned Building,17-01452226,2017-03-17,Front,,Open,,Vacant,False,True,2145.0,W,PERSHING,RD,60609.0,1162643.20886576,1878793.60778594,12.0,9.0,61.0,41.823062171079904,-87.67883572331225,"(41.82306217107991, -87.67883572331225)"
57982,Vacant/Abandoned Building,17-01481141,2017-03-18,Front,,Open,ALL ENTRIES,Vacant,False,True,4160.0,S,WENTWORTH,AVE,60609.0,1175623.08186621,1877306.96990735,3.0,9.0,37.0,41.818701509715424,-87.63126243420638,"(41.81870150971542, -87.63126243420638)"
57983,Vacant/Abandoned Building,17-01513937,2017-03-20,Rear,,Open,REAR,Vacant,False,True,7755.0,S,MARYLAND,AVE,60619.0,1183246.42818484,1853768.37121234,8.0,6.0,69.0,41.75393519928798,-87.60403000726215,"(41.75393519928798, -87.60403000726215)"
57984,Vacant/Abandoned Building,17-01522559,2017-03-20,Rear,,Open,,Vacant,False,True,5300.0,S,LOWE,AVE,60609.0,1172863.93841399,1869745.13419874,3.0,9.0,61.0,41.79801249561675,-87.64160717109932,"(41.79801249561675, -87.64160717109932)"
57985,Vacant/Abandoned Building,17-01523273,2017-03-20,Front,,Open,KNOWN ENTRY POINTS: WINDOWS ON UPPER FLOORS. THERE MAY BE OTHER ACCESSIBLE ENTRY POINTS WE DID NOT SEE FRONT THE FRONT OF THE HOUSE.,Vacant,False,True,2228.0,S,SACRAMENTO,AVE,60623.0,1156704.31048651,1889047.7935319,12.0,10.0,30.0,41.851322952172275,-87.70034611118886,"(41.85132295217227, -87.70034611118888)"
57986,Vacant/Abandoned Building,17-01279904,2017-03-07,Front,,Open,REAR,Vacant,False,False,7741.0,S,HOYNE,AVE,60620.0,1163708.87571466,1853286.29682087,18.0,6.0,71.0,41.75304448662222,-87.6756420239068,"(41.753044486622215, -87.67564202390682)"
57987,Vacant/Abandoned Building,17-01283963,2017-03-08,Front,,Open,FRONT AND REAR,Vacant,False,False,7844.0,S,DOBSON,AVE,60619.0,1184581.7864136999,1853207.29089079,8.0,6.0,69.0,41.752364371447,-87.59915397607554,"(41.752364371447, -87.59915397607553)"
57988,Vacant/Abandoned Building,17-01287711,2017-03-08,,,,,,,,2222.0,S,DRAKE,AVE,60623.0,1153049.96138095,1888944.01790888,22.0,10.0,30.0,41.851111315785346,-87.71376124884327,"(41.85111131578534, -87.71376124884327)"
57989,Vacant/Abandoned Building,17-01384741,2017-03-13,Front,,Open,FRONT AND BACK,Vacant,False,False,7318.0,S,MARYLAND,AVE,,1183167.52819449,1856675.77310131,8.0,3.0,69.0,41.76191524096335,-87.60422884549679,"(41.76191524096334, -87.6042288454968)"
57990,Vacant/Abandoned Building,17-01384784,2017-03-13,Front,,Open,FRONT AND BACK,Vacant,False,False,7400.0,S,MARYLAND,AVE,,1183181.58416586,1856132.00652071,8.0,3.0,69.0,41.760422764058546,-87.60419422199362,"(41.76042276405855, -87.60419422199362)"
57991,Vacant/Abandoned Building,17-01035310,2017-02-23,Front,,Open,"FRONT, REAR",Vacant,False,False,8043.0,S,KIMBARK,AVE,60619.0,1186274.45152141,1851921.4338814,8.0,4.0,45.0,41.74879604975556,-87.59299171081196,"(41.74879604975556, -87.59299171081196)"
57992,Vacant/Abandoned Building,17-01066753,2017-02-24,Front,,Open,,Vacant,False,False,10645.0,S,AVENUE O,,60617.0,1200866.4784336,1834973.22997317,10.0,4.0,52.0,41.70193190716944,-87.54009461926765,"(41.70193190716944, -87.54009461926766)"
57993,Vacant/Abandoned Building,17-00627946,2017-02-03,,,,,,,,922.0,N,LAWNDALE,AVE,60651.0,1151548.5007937,1905897.9464314,27.0,11.0,23.0,41.89766436467969,-87.71882649039844,"(41.89766436467969, -87.71882649039846)"
57994,Vacant/Abandoned Building,17-00672245,2017-02-06,Front,,Open,FRONT,Vacant,False,False,8305.0,S,BLACKSTONE,AVE,60619.0,1187648.48007961,1850193.66670599,8.0,4.0,45.0,41.7440223356606,-87.58801167486234,"(41.744022335660596, -87.58801167486234)"
57995,Vacant/Abandoned Building,17-00865232,2017-02-16,,,,,,,,10756.0,S,GREEN BAY,AVE,60617.0,1200533.09780347,1834239.28991836,10.0,4.0,52.0,41.699926330148564,-87.54134004386034,"(41.699926330148564, -87.54134004386034)"
57996,Vacant/Abandoned Building,17-00890562,2017-02-17,Front,,Open,FRONT DOOR,Vacant,False,True,8018.0,S,AVALON,AVE,60619.0,1185937.82618908,1852081.07916907,8.0,4.0,45.0,41.74924207392026,-87.59422018853783,"(41.74924207392026, -87.59422018853783)"
57999,Vacant/Abandoned Building,17-00005070,2017-01-01,Front,,Open, FRONT AND REAR DOORS,Vacant,False,True,10101.0,S,MORGAN,ST,60643.0,1171432.12666969,1837838.18043174,34.0,22.0,73.0,41.710487194178356,-87.64779021558603,"(41.71048719417835, -87.64779021558603)"
58000,Vacant/Abandoned Building,17-00261722,2017-01-15,Rear,,Open,BACK DOOR OPEN,Vacant,False,True,2761.0,W,86TH,PL,60652.0,1159488.00228248,1847129.96137967,18.0,8.0,70.0,41.736238030468655,-87.69127831292046,"(41.736238030468655, -87.69127831292045)"
58010,Vacant/Abandoned Building,17-01851808,2017-04-01,Rear,,Open,,Vacant,False,True,1631.0,S,CARPENTER,ST,60608.0,1169463.67009595,1892134.95638449,25.0,12.0,31.0,41.859526747409966,-87.65342670141472,"(41.859526747409966, -87.65342670141472)"
58011,Vacant/Abandoned Building,17-01858720,2017-04-01,Front,,Open,JUST THE GARAGE,Vacant,False,False,2737.0,S,KOMENSKY,AVE,60623.0,1149822.42061214,1885493.36459715,22.0,10.0,30.0,41.84170557507647,-87.72569674041564,"(41.84170557507647, -87.72569674041564)"
58012,Vacant/Abandoned Building,17-01907367,2017-04-03,Front,,Open,,Vacant,False,False,5531.0,S,HAMILTON,AVE,60636.0,1162974.65987721,1867860.48449457,15.0,7.0,67.0,41.7930534296742,-87.67792563166124,"(41.793053429674195, -87.67792563166125)"
58013,Vacant/Abandoned Building,17-01907405,2017-04-03,Front,,Open,,Vacant,True,False,5533.0,S,HAMILTON,AVE,60636.0,1162974.95987721,1867849.78449457,15.0,7.0,67.0,41.793024061232046,-87.6779248307158,"(41.79302406123205, -87.67792483071578)"
58014,Vacant/Abandoned Building,17-01910683,2017-04-03,Front,,Open,,Vacant,False,False,12240.0,S,MAY,ST,60643.0,1170878.86991686,1823625.04368089,34.0,5.0,53.0,41.67149612926893,-87.65022911850592,"(41.671496129268924, -87.65022911850592)"
58015,Vacant/Abandoned Building,17-01926908,2017-04-04,Front,,Open,,Vacant,False,False,2441.0,W,LITHUANIAN PLAZA,CT,60629.0,1161187.95779867,1858831.12527742,17.0,8.0,66.0,41.76831282110162,-87.6847270471146,"(41.768312821101624, -87.68472704711459)"
58016,Vacant/Abandoned Building,17-01926920,2017-04-04,Front,,Open,,Vacant,False,False,2447.0,W,LITHUANIAN PLAZA,CT,60629.0,1161158.05779867,1858830.32527742,17.0,8.0,66.0,41.768311244474,-87.68483666770024,"(41.768311244474, -87.68483666770024)"
58017,Vacant/Abandoned Building,17-01778354,2017-03-29,Rear,,Open,BACK DOOR AND GARAGE DOOR,Vacant,False,False,4202.0,W,25TH,ST,60623.0,1148774.49458365,1887055.44508749,22.0,10.0,30.0,41.84601240795396,-87.72950202937616,"(41.84601240795395, -87.72950202937615)"
58018,Vacant/Abandoned Building,17-01795723,2017-03-30,Front,,Boarded,,Vacant,False,False,4450.0,W,WEST END,AVE,60624.0,1146601.68019892,1900601.6649222,28.0,11.0,26.0,41.88322656684219,-87.73713093601162,"(41.88322656684219, -87.73713093601162)"
58019,Vacant/Abandoned Building,17-01613664,2017-03-23,Front,,Open,"WINDOWS ON GANGWAY PIECE OF PLYWOOD, YOU CAN PUSH IT OPEN.",Vacant,True,True,1622.0,W,21ST,PL,60608.0,1165807.19977378,1889807.48502315,25.0,12.0,31.0,41.853218626565436,-87.6669147767035,"(41.853218626565436, -87.66691477670352)"
58020,Vacant/Abandoned Building,17-01375491,2017-03-13,Rear,,Open,THE BACKDOOR ALONG WITH A FEW OF THE WINDOWS OF THE HOUSE.,Vacant,False,False,7225.0,S,WASHTENAW,AVE,60629.0,1159623.70123096,1856626.09392281,18.0,8.0,66.0,41.76229411628045,-87.690521238127,"(41.762294116280444, -87.690521238127)"
58021,Vacant/Abandoned Building,17-01398616,2017-03-14,Rear,,Open,"THE WINDOWS ALL AROUND THE PROPERTY ARE UNSECURED ALONG WITH THE FRONT AND BACK DOOR. ,,,
",Vacant,True,False,7131.0,S,KEDZIE,AVE,60629.0,1156270.68112201,1857155.40818837,18.0,8.0,66.0,,,
58022,Vacant/Abandoned Building,17-01448361,2017-03-17,,,,,,,,7653.0,S,DOBSON,AVE,60619.0,1184548.20991399,1854475.9700057998,8.0,6.0,69.0,41.75584654066215,-87.59923734865744,"(41.75584654066215, -87.59923734865743)"
58023,Vacant/Abandoned Building,17-01550756,2017-03-21,,,,,,,,8756.0,S,MORGAN,ST,60620.0,1171176.90307025,1846758.69982046,21.0,22.0,71.0,41.7349719640781,-87.64846499508819,"(41.734971964078106, -87.64846499508819)"
58024,Vacant/Abandoned Building,17-01251443,2017-03-06,Rear,,Boarded,NONE,Vacant,False,False,2707.0,W,ADAMS,ST,60612.0,1158371.58450202,1898915.93498659,27.0,11.0,27.0,41.87836825074597,-87.69395706436144,"(41.87836825074597, -87.69395706436143)"
58025,Vacant/Abandoned Building,17-01270180,2017-03-07,,,,,,,,9924.0,S,MORGAN,ST,60643.0,1171400.3700041,1839009.69998884,34.0,22.0,73.0,41.71370271282717,-87.6478723600792,"(41.713702712827164, -87.6478723600792)"
58026,Vacant/Abandoned Building,17-01033747,2017-02-23,Front,,Open,DOOR,Vacant,False,False,8035.0,S,AVALON,AVE,60619.0,1185940.82618908,1851966.77916907,8.0,4.0,45.0,41.74892835259229,-87.59421279339905,"(41.748928352592294, -87.59421279339904)"
58027,Vacant/Abandoned Building,17-00191597,2017-01-11,Garage,,Open,THE GARAGE SIDE DOOR IS UNSECURED.,Vacant,False,False,4155.0,W,78TH,PL,60652.0,1150007.24731883,1852113.24457129,18.0,8.0,70.0,41.750101880627156,-87.72588406569612,"(41.75010188062716, -87.72588406569612)"
58028,Vacant/Abandoned Building,17-00630694,2017-02-03,Front,,Open,FRONT,Vacant,False,False,7927.0,S,GREENWOOD,AVE,60619.0,1184927.7321028,1852666.66936925,8.0,6.0,44.0,41.750872743641175,-87.59790318316149,"(41.75087274364117, -87.59790318316148)"
58029,Vacant/Abandoned Building,17-00807078,2017-02-13,Front,,Open,,Vacant,True,True,506.0,N,MONTICELLO,AVE,60624.0,1151957.93602774,1903151.71003211,27.0,11.0,23.0,41.890120359318296,-87.71739508050516,"(41.890120359318296, -87.71739508050516)"
58037,Vacant/Abandoned Building,17-01560087,2017-03-21,Front,,Open,,Vacant,False,False,9720.0,S,CARPENTER,ST,60643.0,1171035.75540586,1840179.00978277,34.0,22.0,73.0,41.71691943058821,-87.64917368452156,"(41.716919430588206, -87.64917368452157)"
58038,Vacant/Abandoned Building,17-01600900,2017-03-23,,,,,,,,443.0,W,103RD,ST,60628.0,1175088.39999107,1836606.29970574,34.0,22.0,49.0,41.70702607631356,-87.6344369036538,"(41.70702607631356, -87.63443690365382)"
58039,Vacant/Abandoned Building,17-01350730,2017-03-11,Front,,Boarded,,Vacant,False,True,2828.0,W,FULTON,ST,60612.0,1157485.53526808,1901883.45457407,27.0,12.0,27.0,41.88652947407314,-87.6971296762829,"(41.88652947407314, -87.6971296762829)"
58040,Vacant/Abandoned Building,17-01360566,2017-03-12,Rear,,Open,,Vacant,False,False,1021.0,W,103RD,ST,60643.0,1171235.47979219,1836516.68262143,34.0,22.0,73.0,41.70686509785534,-87.6485488593922,"(41.70686509785534, -87.6485488593922)"
58041,Vacant/Abandoned Building,17-01122416,2017-02-28,Rear,,Open,REAR,Vacant,False,True,10235.0,S,CARPENTER,ST,60643.0,1171124.44290253,1836943.01283242,34.0,22.0,73.0,41.708037435240094,-87.64894306651094,"(41.70803743524009, -87.64894306651095)"
58042,Vacant/Abandoned Building,17-00723795,2017-02-09,,,,,,,,10412.0,S,EMERALD,AVE,60628.0,1173150.69391579,1835807.22710711,34.0,22.0,49.0,41.70487623884173,-87.64155625836638,"(41.70487623884173, -87.64155625836638)"
58043,Vacant/Abandoned Building,17-00166512,2017-01-10,,,,,,,,2747.0,W,LAKE,ST,60612.0,1157964.99999788,1901069.65190182,27.0,12.0,27.0,41.8842865560906,-87.69539117429431,"(41.8842865560906, -87.69539117429433)"
58044,Vacant/Abandoned Building,17-00353763,2017-01-20,Front,,Open,FRONT,Vacant,False,True,2857.0,W,WARREN,BLVD,60612.0,1157335.6018661999,1900224.14529477,27.0,12.0,27.0,41.88197922138148,-87.69772540216383,"(41.88197922138148, -87.69772540216383)"
58055,Vacant/Abandoned Building,17-01982032,2017-04-06,Front,,Open,,Vacant,False,False,6420.0,S,HONORE,ST,60636.0,1165115.58670437,1862101.46381228,15.0,7.0,67.0,41.77720488679692,-87.67023792549743,"(41.777204886796916, -87.67023792549743)"
58056,Vacant/Abandoned Building,17-01264540,2017-03-07,Rear,,Open,REAR,Vacant,False,True,4234.0,S,DREXEL,BLVD,60653.0,1182890.33948885,1876958.16672587,4.0,2.0,36.0,41.81757833476708,-87.60461468061216,"(41.81757833476708, -87.60461468061217)"
58057,Vacant/Abandoned Building,17-01960388,2017-04-05,Garage,,Open,THE FRONT AND THE BACK,Vacant,False,False,2235.0,E,95TH,ST,60617.0,1192807.71999255,1842411.42598029,7.0,4.0,51.0,41.722542974054214,-87.56936115749045,"(41.722542974054214, -87.56936115749046)"
58058,Vacant/Abandoned Building,17-01808913,2017-03-30,Front,,Open,"REAR DOOR, ALMOST BUSTED AND IS ALWAYS OPEN , FENCES ARE GONE",Vacant,False,True,1146.0,W,111TH,PL,60643.0,1170671.44621268,1830857.45997425,34.0,22.0,75.0,41.69134758975832,-87.65077857841726,"(41.69134758975832, -87.65077857841726)"
58059,Vacant/Abandoned Building,17-01829075,2017-03-31,Rear,,Open,,Vacant,False,False,10137.0,S,EMERALD,AVE,60628.0,1173096.91318782,1837636.91199906,34.0,22.0,73.0,41.70989835085837,-87.64169938291498,"(41.709898350858374, -87.64169938291498)"
58060,Vacant/Abandoned Building,17-01716529,2017-03-27,Front,,Open,,Vacant,False,False,11827.0,S,PERRY,AVE,60628.0,1177705.59497097,1826531.73643429,34.0,5.0,53.0,41.67932132221306,-87.62515611952787,"(41.67932132221306, -87.62515611952787)"
58061,Vacant/Abandoned Building,17-01717899,2017-03-27,Front,,Open,,Vacant,False,False,9024.0,S,YATES,BLVD,60617.0,1193738.83087284,1845602.04519096,7.0,4.0,48.0,41.7312756030965,-87.56584648060867,"(41.7312756030965, -87.56584648060867)"
58062,Vacant/Abandoned Building,17-01601986,2017-03-23,Front,,Boarded,,Vacant,False,True,10822.0,S,TORRENCE,AVE,60617.0,1195564.98191767,1833800.79000052,10.0,4.0,51.0,41.6988469707002,-87.55954527939356,"(41.6988469707002, -87.55954527939356)"
58063,Vacant/Abandoned Building,17-01632833,2017-03-24,Front,,Open,FRONT WINDOW,Vacant,True,True,6741.0,S,WABASH,AVE,60637.0,1177885.98010182,1860328.81721267,6.0,3.0,69.0,41.77206080466813,-87.62347567552641,"(41.772060804668136, -87.6234756755264)"
58064,Vacant/Abandoned Building,17-01285221,2017-03-08,Garage,,Open,,Vacant,False,True,1143.0,W,111TH,PL,60643.0,1170691.54621268,1830857.95997425,34.0,22.0,75.0,41.691348524756776,-87.65070497574135,"(41.69134852475677, -87.65070497574135)"
